Vardas              Pavarde                  Galutinis 
Vardas1             Pavarde1                 6.24      
Vardas10            Pavarde10                7.84      
Vardas1000          Pavarde1000              5.71      
Vardas10000         Pavarde10000             6.36      
Vardas10001         Pavarde10001             8.16      
Vardas10003         Pavarde10003             7.21      
Vardas10007         Pavarde10007             6.44      
Vardas10009         Pavarde10009             7.44      
Vardas1001          Pavarde1001              7.97      
Vardas10013         Pavarde10013             8.27      
Vardas10015         Pavarde10015             5.12      
Vardas10016         Pavarde10016             6.56      
Vardas10018         Pavarde10018             8.80      
Vardas10019         Pavarde10019             7.48      
Vardas1002          Pavarde1002              7.31      
Vardas10020         Pavarde10020             5.55      
Vardas10021         Pavarde10021             8.03      
Vardas10022         Pavarde10022             5.32      
Vardas10023         Pavarde10023             8.05      
Vardas10024         Pavarde10024             5.43      
Vardas10031         Pavarde10031             6.88      
Vardas10034         Pavarde10034             6.68      
Vardas10035         Pavarde10035             6.23      
Vardas10036         Pavarde10036             8.32      
Vardas10038         Pavarde10038             6.11      
Vardas1004          Pavarde1004              7.31      
Vardas10040         Pavarde10040             5.32      
Vardas10041         Pavarde10041             6.16      
Vardas10043         Pavarde10043             7.48      
Vardas10045         Pavarde10045             8.35      
Vardas10046         Pavarde10046             5.75      
Vardas1005          Pavarde1005              7.67      
Vardas10051         Pavarde10051             7.75      
Vardas10054         Pavarde10054             7.67      
Vardas10055         Pavarde10055             5.92      
Vardas10056         Pavarde10056             5.39      
Vardas10058         Pavarde10058             5.29      
Vardas1006          Pavarde1006              5.69      
Vardas10060         Pavarde10060             6.39      
Vardas10061         Pavarde10061             7.32      
Vardas10062         Pavarde10062             6.48      
Vardas10065         Pavarde10065             7.15      
Vardas10068         Pavarde10068             7.43      
Vardas10069         Pavarde10069             5.76      
Vardas1007          Pavarde1007              6.08      
Vardas10072         Pavarde10072             6.91      
Vardas10073         Pavarde10073             5.99      
Vardas10077         Pavarde10077             8.00      
Vardas10078         Pavarde10078             5.27      
Vardas10079         Pavarde10079             7.53      
Vardas1008          Pavarde1008              8.29      
Vardas10080         Pavarde10080             8.29      
